Index,"Region, development group, country or area of destination",Coverage,Data type,Location code of destination,"Region, development group, country or area of origin",Location code of origin,1990,1995,2000,2005,2010,2015,2020,2024,1990,1995,2000,2005,2010,2015,2020,2024,1990,1995,2000,2005,2010,2015,2020,2024
287,Sub-Saharan Africa,,,1834,World,900,13 802 710,14 578 211,13 518 102,14 849 146,15 787 016,20 399 360,22 040 895,24 306 400,7 383 333,7 744 133,7 203 357,8 094 597,8 561 263,11 102 828,11 761 987,12 765 990,6 419 377,6 834 078,6 314 745,6 754 549,7 225 753,9 296 532,10 278 908,11 540 410
288,Sub-Saharan Africa,,,1834,Sub-Saharan Africa,1834,11 007 568,12 012 007,10 906 522,11 689 672,12 692 139,15 919 484,18 164 495,19 564 204,5 873 381,6 394 959,5 850 044,6 439 137,6 871 666,8 579 177,9 713 391,10 341 017,5 134 187,5 617 048,5 056 478,5 250 535,5 820 473,7 340 307,8 451 104,9 223 187
289,Sub-Saharan Africa,,,1834,Northern Africa and Western Asia,1833,202 330,359 813,419 821,678 898,513 008,1 147 483,1 262 939,2 073 396,102 720,184 395,213 095,334 164,243 062,555 953,604 818,961 963,99 610,175 418,206 726,344 734,269 946,591 530,658 121,1 111 433
290,Sub-Saharan Africa,,,1834,Central and Southern Asia,1831,36 180,41 137,52 282,95 066,114 009,148 310,171 284,146 968,19 612,23 483,31 479,61 882,76 139,103 449,120 676,100 211,16 568,17 654,20 803,33 184,37 870,44 861,50 608,46 757
291,Sub-Saharan Africa,,,1834,Eastern and South-Eastern Asia,1832,26 214,27 909,36 844,44 714,81 016,103 615,83 201,73 516,15 735,15 450,18 173,25 041,45 568,58 198,46 808,41 581,10 479,12 459,18 671,19 673,35 448,45 417,36 393,31 935
292,Sub-Saharan Africa,,,1834,Latin America and the Caribbean,1830,7 358,7 705,7 365,7 463,13 641,22 594,23 815,25 119,3 550,3 715,3 455,3 638,6 765,11 755,12 325,12 891,3 808,3 990,3 910,3 825,6 876,10 839,11 490,12 228
293,Sub-Saharan Africa,,,1834,Oceania (excluding Australia and New Zealand),1835,190,148,155,219,971,2 411,3 016,3 553,113,84,85,124,498,1 319,1 660,1 977,77,64,70,95,473,1 092,1 356,1 576
294,Sub-Saharan Africa,,,1834,Australia/New Zealand,1836,7 182,6 393,5 710,5 487,5 611,5 444,5 408,5 566,3 437,3 072,2 761,2 682,2 778,2 718,2 716,2 802,3 745,3 321,2 949,2 805,2 833,2 726,2 692,2 764
295,Sub-Saharan Africa,,,1834,Europe and Northern America,1829,503 931,445 693,443 252,434 212,428 234,418 863,409 905,412 244,262 146,232 002,232 126,233 162,233 106,226 316,216 902,215 040,241 785,213 691,211 126,201 050,195 128,192 547,193 003,197 204
296,Sub-Saharan Africa,,,1834,More developed regions,901,512 200,453 045,449 983,440 790,435 523,425 942,416 902,419 532,266 161,235 581,235 427,236 437,236 752,229 868,220 416,218 696,246 039,217 464,214 556,204 353,198 771,196 074,196 486,200 836
297,Sub-Saharan Africa,,,1834,Less developed regions,902,11 278 753,12 447 760,11 421 968,12 514 941,13 413 106,17 342 262,19 707 161,21 885 034,6 014 533,6 621 579,6 115 791,6 863 393,7 242 830,9 309 017,10 498 880,11 458 786,5 264 220,5 826 181,5 306 177,5 651 548,6 170 276,8 033 245,9 208 281,10 426 248
298,Sub-Saharan Africa,,,1834,Least developed countries,941,9 749 423,10 771 835,9 551 572,10 031 387,10 247 357,13 422 546,15 412 644,17 315 114,5 227 490,5 757 914,5 148 346,5 558 184,5 578 726,7 237 572,8 259 480,9 103 456,4 521 933,5 013 921,4 403 226,4 473 203,4 668 631,6 184 974,7 153 164,8 211 658
299,Sub-Saharan Africa,,,1834,"Less developed regions, excluding least developed countries",934,1 529 330,1 675 925,1 870 396,2 483 554,3 165 749,3 919 716,4 294 517,4 569 920,787 043,863 665,967 445,1 305 209,1 664 104,2 071 445,2 239 400,2 355 330,742 287,812 260,902 951,1 178 345,1 501 645,1 848 271,2 055 117,2 214 590
300,Sub-Saharan Africa,,,1834,"Less developed regions, excluding China",948,11 261 873,12 428 969,11 394 479,12 479 447,13 344 593,17 252 448,19 637 664,21 825 939,6 003 844,6 610 941,6 102 365,6 843 077,7 203 573,9 257 931,10 459 077,11 424 479,5 258 029,5 818 028,5 292 114,5 636 370,6 141 020,7 994 517,9 178 587,10 401 460
301,Sub-Saharan Africa,,,1834,Land-locked Developing Countries (LLDC),1636,4 504 779,6 009 456,4 852 330,5 275 086,5 766 424,7 803 734,9 356 021,10 041 964,2 505 805,3 250 887,2 683 217,3 012 853,3 213 359,4 310 289,5 088 146,5 387 075,1 998 974,2 758 569,2 169 113,2 262 233,2 553 065,3 493 445,4 267 875,4 654 889
302,Sub-Saharan Africa,,,1834,Small Island Developing States (SIDS),1637,92 639,112 638,136 190,161 517,184 100,206 111,237 944,270 066,46 343,56 287,69 041,79 911,88 950,99 847,115 419,130 590,46 296,56 351,67 149,81 606,95 150,106 264,122 525,139 476
303,Sub-Saharan Africa,,,1834,High-and-upper-middle-income countries,5503,742 307,687 578,727 565,754 595,795 130,855 577,841 168,849 181,391 779,360 565,379 292,398 667,422 662,458 842,446 096,446 840,350 528,327 013,348 273,355 928,372 468,396 735,395 072,402 341
304,Sub-Saharan Africa,,,1834,Low-and-Lower-middle-income countries,5504,11 048 224,12 212 910,11 144 050,12 200 678,13 026 063,16 882 871,19 250 191,21 420 149,5 888 644,6 496 396,5 971 725,6 700 889,7 042 502,9 064 414,10 255 998,11 212 133,5 159 580,5 716 514,5 172 325,5 499 789,5 983 561,7 818 457,8 994 193,10 208 016
305,Sub-Saharan Africa,,,1834,High-income countries,1503,531 317,476 023,473 949,467 959,470 953,467 409,461 318,467 280,276 439,247 651,247 872,249 605,254 088,250 641,242 716,242 659,254 878,228 372,226 077,218 354,216 865,216 768,218 602,224 621
306,Sub-Saharan Africa,,,1834,Low-and-middle-income countries,1859,11 259 214,12 424 465,11 397 666,12 487 314,13 350 240,17 271 039,19 630 041,21 802 050,6 003 984,6 609 310,6 103 145,6 849 951,7 211 076,9 272 615,10 459 378,11 416 314,5 255 230,5 815 155,5 294 521,5 637 363,6 139 164,7 998 424,9 170 663,10 385 736
307,Sub-Saharan Africa,,,1834,Middle-income countries,1517,3 437 849,3 537 334,3 945 742,4 553 249,5 246 972,6 073 075,6 598 495,7 010 333,1 839 511,1 886 954,2 077 061,2 420 424,2 783 303,3 230 919,3 477 842,3 652 286,1 598 338,1 650 380,1 868 681,2 132 825,2 463 669,2 842 156,3 120 653,3 358 047
308,Sub-Saharan Africa,,,1834,Upper-middle-income countries,1502,210 990,211 555,253 616,286 636,324 177,388 168,379 850,381 901,115 340,112 914,131 420,149 062,168 574,208 201,203 380,204 181,95 650,98 641,122 196,137 574,155 603,179 967,176 470,177 720
309,Sub-Saharan Africa,,,1834,Lower-middle-income countries,1501,3 226 859,3 325 779,3 692 126,4 266 613,4 922 795,5 684 907,6 218 645,6 628 432,1 724 171,1 774 040,1 945 641,2 271 362,2 614 729,3 022 718,3 274 462,3 448 105,1 502 688,1 551 739,1 746 485,1 995 251,2 308 066,2 662 189,2 944 183,3 180 327
310,Sub-Saharan Africa,,,1834,Low-income countries,1500,7 821 365,8 887 131,7 451 924,7 934 065,8 103 268,11 197 964,13 031 546,14 791 717,4 164 473,4 722 356,4 026 084,4 429 527,4 427 773,6 041 696,6 981 536,7 764 028,3 656 892,4 164 775,3 425 840,3 504 538,3 675 495,5 156 268,6 050 010,7 027 689
311,Sub-Saharan Africa,,,1834,No income group available,1518,422,317,336,458,26 676,28 821,31 608,34 006,271,199,201,274,14 076,15 208,16 707,17 953,151,118,135,184,12 600,13 613,14 901,16 053
312,Sub-Saharan Africa,,,1834,AFRICA,903,11 191 152,12 353 767,11 308 262,12 353 913,13 185 924,17 033 013,19 384 236,21 587 670,5 965 541,6 569 160,6 053 102,6 764 503,7 103 634,9 116 385,10 294 363,11 275 572,5 225 611,5 784 607,5 255 160,5 589 410,6 082 290,7 916 628,9 089 873,10 312 098
