Index,"Region, development group, country or area of destination",Coverage,Data type,Location code of destination,"Region, development group, country or area of origin",Location code of origin,1990,1995,2000,2005,2010,2015,2020,2024
287,Sub-Saharan Africa,,,1834,World,900,13 802 710,14 578 211,13 518 102,14 849 146,15 787 016,20 399 360,22 040 895,24 306 400
288,Sub-Saharan Africa,,,1834,Sub-Saharan Africa,1834,11 007 568,12 012 007,10 906 522,11 689 672,12 692 139,15 919 484,18 164 495,19 564 204
289,Sub-Saharan Africa,,,1834,Northern Africa and Western Asia,1833,202 330,359 813,419 821,678 898,513 008,1 147 483,1 262 939,2 073 396
290,Sub-Saharan Africa,,,1834,Central and Southern Asia,1831,36 180,41 137,52 282,95 066,114 009,148 310,171 284,146 968
291,Sub-Saharan Africa,,,1834,Eastern and South-Eastern Asia,1832,26 214,27 909,36 844,44 714,81 016,103 615,83 201,73 516
292,Sub-Saharan Africa,,,1834,Latin America and the Caribbean,1830,7 358,7 705,7 365,7 463,13 641,22 594,23 815,25 119
293,Sub-Saharan Africa,,,1834,Oceania (excluding Australia and New Zealand),1835,190,148,155,219,971,2 411,3 016,3 553
294,Sub-Saharan Africa,,,1834,Australia/New Zealand,1836,7 182,6 393,5 710,5 487,5 611,5 444,5 408,5 566
295,Sub-Saharan Africa,,,1834,Europe and Northern America,1829,503 931,445 693,443 252,434 212,428 234,418 863,409 905,412 244
296,Sub-Saharan Africa,,,1834,More developed regions,901,512 200,453 045,449 983,440 790,435 523,425 942,416 902,419 532
297,Sub-Saharan Africa,,,1834,Less developed regions,902,11 278 753,12 447 760,11 421 968,12 514 941,13 413 106,17 342 262,19 707 161,21 885 034
298,Sub-Saharan Africa,,,1834,Least developed countries,941,9 749 423,10 771 835,9 551 572,10 031 387,10 247 357,13 422 546,15 412 644,17 315 114
299,Sub-Saharan Africa,,,1834,"Less developed regions, excluding least developed countries",934,1 529 330,1 675 925,1 870 396,2 483 554,3 165 749,3 919 716,4 294 517,4 569 920
300,Sub-Saharan Africa,,,1834,"Less developed regions, excluding China",948,11 261 873,12 428 969,11 394 479,12 479 447,13 344 593,17 252 448,19 637 664,21 825 939
301,Sub-Saharan Africa,,,1834,Land-locked Developing Countries (LLDC),1636,4 504 779,6 009 456,4 852 330,5 275 086,5 766 424,7 803 734,9 356 021,10 041 964
302,Sub-Saharan Africa,,,1834,Small Island Developing States (SIDS),1637,92 639,112 638,136 190,161 517,184 100,206 111,237 944,270 066
303,Sub-Saharan Africa,,,1834,High-and-upper-middle-income countries,5503,742 307,687 578,727 565,754 595,795 130,855 577,841 168,849 181
304,Sub-Saharan Africa,,,1834,Low-and-Lower-middle-income countries,5504,11 048 224,12 212 910,11 144 050,12 200 678,13 026 063,16 882 871,19 250 191,21 420 149
305,Sub-Saharan Africa,,,1834,High-income countries,1503,531 317,476 023,473 949,467 959,470 953,467 409,461 318,467 280
306,Sub-Saharan Africa,,,1834,Low-and-middle-income countries,1859,11 259 214,12 424 465,11 397 666,12 487 314,13 350 240,17 271 039,19 630 041,21 802 050
307,Sub-Saharan Africa,,,1834,Middle-income countries,1517,3 437 849,3 537 334,3 945 742,4 553 249,5 246 972,6 073 075,6 598 495,7 010 333
308,Sub-Saharan Africa,,,1834,Upper-middle-income countries,1502,210 990,211 555,253 616,286 636,324 177,388 168,379 850,381 901
309,Sub-Saharan Africa,,,1834,Lower-middle-income countries,1501,3 226 859,3 325 779,3 692 126,4 266 613,4 922 795,5 684 907,6 218 645,6 628 432
310,Sub-Saharan Africa,,,1834,Low-income countries,1500,7 821 365,8 887 131,7 451 924,7 934 065,8 103 268,11 197 964,13 031 546,14 791 717
311,Sub-Saharan Africa,,,1834,No income group available,1518,422,317,336,458,26 676,28 821,31 608,34 006
312,Sub-Saharan Africa,,,1834,AFRICA,903,11 191 152,12 353 767,11 308 262,12 353 913,13 185 924,17 033 013,19 384 236,21 587 670
313,Sub-Saharan Africa,,,1834,Eastern Africa,910,5 230 456,5 339 653,3 752 381,3 714 090,4 172 493,5 813 626,6 945 307,7 547 389
314,Sub-Saharan Africa,,,1834,Burundi,108,339 248,544 854,795 350,640 126,273 621,422 725,523 431,538 151
315,Sub-Saharan Africa,,,1834,Comoros,174,19 313,28 911,46 472,61 580,69 337,78 054,102 638,128 602
316,Sub-Saharan Africa,,,1834,Djibouti,262,975,18 802,2 300,796,788,779,745,1 379
317,Sub-Saharan Africa,,,1834,Eritrea,232,64 278,49 337,29 318,21 500,52 295,157 986,194 336,227 040
318,Sub-Saharan Africa,,,1834,Ethiopia,231,501 724,59 643,33 760,46 213,105 618,149 949,200 492,200 987
319,Sub-Saharan Africa,,,1834,Kenya,404,75 295,85 664,83 909,98 806,106 228,108 164,106 067,107 510
320,Sub-Saharan Africa,,,1834,Madagascar,450,15 903,21 001,27 261,31 560,34 553,36 148,38 952,41 792
321,Sub-Saharan Africa,,,1834,Malawi,454,137 769,133 649,166 895,214 908,257 714,305 021,370 347,424 739
322,Sub-Saharan Africa,,,1834,Mauritius,480,6 668,8 264,8 814,9 377,8 762,8 436,8 089,8 247
323,Sub-Saharan Africa,,,1834,Mayotte,175,1 800,3 893,6 162,6 410,6 294,6 507,6 740,6 933
324,Sub-Saharan Africa,,,1834,Mozambique,508,1 912 232,685 416,571 888,562 837,589 994,597 358,603 616,606 988
325,Sub-Saharan Africa,,,1834,Réunion,638,2 986,2 587,1 879,1 358,1 080,958,899,893
326,Sub-Saharan Africa,,,1834,Rwanda,646,579 869,2 103 655,337 470,279 137,314 238,472 341,459 224,508 207
327,Sub-Saharan Africa,,,1834,Seychelles,690,6 955,9 389,10 761,14 563,16 408,17 065,17 889,18 671
328,Sub-Saharan Africa,,,1834,Somalia,706,508 013,585 792,436 649,360 398,624 521,953 189,828 432,1 004 109
329,Sub-Saharan Africa,,,1834,South Sudan,728,469 191,256 478,273 844,200 890,92 585,566 095,1 456 853,1 589 436
330,Sub-Saharan Africa,,,1834,Uganda,800,159 948,223 060,383 693,434 783,561 008,595 059,558 216,546 607
331,Sub-Saharan Africa,,,1834,United Republic of Tanzania,834,168 172,182 469,162 865,170 444,171 992,173 162,169 216,169 439
332,Sub-Saharan Africa,,,1834,Zambia,894,69 439,110 802,119 029,126 432,125 348,117 726,110 616,109 527
