index,Teamname,match_id,timestamp,minute,second,type.name,shot.end_location.x,GoalWidth,GoalHeight,shot.outcome.name,DistToGoal,goal
1746,New Zealand Women's,3893787,00:02:11.477,47,11,Shot,120,41.8,1.3,Goal,7.34370478709486,TRUE
1938,Australia Women's,3893788,00:06:33.019,51,33,Shot,120,37,1.8,Goal,11.9004201606498,TRUE
1728,Switzerland Women's,3893789,00:44:54.832,44,54,Shot,120,36.9,1,Goal,11.9004201606498,TRUE
2851,Switzerland Women's,3893789,00:18:53.021,63,53,Shot,120,37.2,0.2,Goal,4.99799959983992,TRUE
865,Spain Women's,3893791,00:22:11.958,22,11,Shot,120,37.9,0.4,Goal,12.9988461026354,TRUE
1005,Spain Women's,3893791,00:26:50.903,26,50,Shot,120,41.4,1.9,Goal,3.76563407675255,TRUE
392,United States Women's,3893792,00:13:38.812,13,38,Shot,120,39.5,0,Goal,13.9176147381654,TRUE
1424,United States Women's,3893792,00:51:21.170,51,21,Shot,120,40.9,0.2,Goal,20.6787330366249,TRUE
2390,United States Women's,3893792,00:31:33.728,76,33,Shot,120,42.5,0.5,Goal,13.7818721514894,TRUE
1472,Japan Women's,3893793,00:42:20.867,42,20,Shot,120,41.3,1,Goal,13.729530217746,TRUE
2187,Japan Women's,3893793,00:09:19.857,54,19,Shot,120,43.4,0.9,Goal,7.37563556583431,TRUE
2462,Japan Women's,3893793,00:16:04.980,61,4,Shot,120,39.8,1.3,Goal,7.0774289116882,TRUE
2893,Japan Women's,3893793,00:25:28.581,70,28,Shot,120,42.8,1,Goal,12.5159897730863,TRUE
3974,Japan Women's,3893793,00:55:23.531,100,23,Shot,120,42.5,0.6,Goal,11.9004201606498,TRUE
757,England Women's,3893794,00:28:36.430,28,36,Shot,120,38,0.7,Goal,12,TRUE
3517,Denmark Women's,3893795,00:43:59.353,88,59,Shot,120,38.2,1.1,Goal,16.1012421881046,TRUE
1777,South Africa Women's,3893796,00:02:27.502,47,27,Shot,120,41.5,0.9,Goal,3.96988664825584,TRUE
2281,Sweden Women's,3893796,00:19:53.119,64,53,Shot,120,42.4,0.5,Goal,9.2784697014109,TRUE
