year,month,day,count
2013,1,1,838
2013,1,2,935
2013,1,3,904
2013,1,4,909
2013,1,5,717
2013,1,6,831
2013,1,7,930
2013,1,8,895
2013,1,9,897
2013,1,10,929
2013,1,11,919
2013,1,12,684
2013,1,13,812
2013,1,14,926
2013,1,15,881
2013,1,16,855
2013,1,17,918
2013,1,18,914
2013,1,19,673
2013,1,20,782
2013,1,21,904
2013,1,22,885
2013,1,23,888
2013,1,24,911
2013,1,25,887
2013,1,26,671
2013,1,27,807
2013,1,28,859
2013,1,29,877
2013,1,30,802
2013,1,31,843
2013,2,1,911
2013,2,2,680
2013,2,3,795
2013,2,4,922
2013,2,5,880
2013,2,6,893
2013,2,7,928
2013,2,8,458
2013,2,9,291
2013,2,10,803
2013,2,11,856
2013,2,12,887
2013,2,13,905
2013,2,14,952
2013,2,15,948
2013,2,16,737
2013,2,17,832
2013,2,18,945
2013,2,19,928
2013,2,20,936
2013,2,21,939
2013,2,22,940
2013,2,23,740
2013,2,24,871
2013,2,25,948
2013,2,26,907
2013,2,27,904
2013,2,28,954
2013,3,1,944
2013,3,2,754
2013,3,3,910
2013,3,4,959
2013,3,5,936
2013,3,6,792
2013,3,7,882
2013,3,8,799
2013,3,9,756
2013,3,10,903
2013,3,11,977
2013,3,12,906
2013,3,13,966
2013,3,14,981
2013,3,15,971
2013,3,16,765
2013,3,17,898
2013,3,18,941
2013,3,19,929
2013,3,20,957
2013,3,21,973
2013,3,22,973
2013,3,23,764
2013,3,24,893
2013,3,25,892
2013,3,26,967
2013,3,27,975
2013,3,28,978
2013,3,29,970
2013,3,30,768
2013,3,31,894
2013,4,1,961
2013,4,2,980
2013,4,3,990
2013,4,4,980
2013,4,5,980
2013,4,6,768
2013,4,7,908
2013,4,8,971
2013,4,9,960
2013,4,10,887
2013,4,11,954
2013,4,12,916
2013,4,13,767
2013,4,14,912
2013,4,15,990
2013,4,16,926
2013,4,17,955
2013,4,18,957
2013,4,19,884
2013,4,20,755
2013,4,21,919
2013,4,22,940
2013,4,23,924
2013,4,24,934
2013,4,25,963
